Data	MoNbTaWV_2D_silea
Recipe	MISAC3
Points	3531
X-Resolution	1.000000
	       Raw	  RawLevel	    Normal	     Rough	      Wavi
206	   36271.7	   92807.3	   92782.6	   92782.6	   92782.6
207	   36657.3	     93250	   93218.7	   93218.7	   93218.7
208	   37030.9	   93680.4	   93647.6	   93647.6	   93647.6
209	     37387	   94094.1	     94070	     94070	     94070
210	   37741.5	   94506.9	   94489.4	   94489.4	   94489.4
211	     38108	     94931	   94908.7	   94908.7	   94908.7
212	   38471.8	   95352.2	   95328.3	   95328.3	   95328.3
213	   38830.7	   95768.8	   95748.6	   95748.6	   95748.6
214	   39190.6	   96186.8	   96171.3	   96171.3	   96171.3
215	   39557.4	     96612	   96599.6	   96599.6	   96599.6
216	   39935.3	   97048.4	   97034.5	   97034.5	   97034.5
217	   40328.2	   97498.6	   97474.3	   97474.3	   97474.3
218	   40714.3	   97941.8	   97915.8	   97915.8	   97915.8
219	   41088.4	   98373.8	   98359.6	   98359.6	   98359.6
220	   41468.4	   98813.1	   98811.7	   98811.7	   98811.7
221	   41875.9	   99279.8	   99277.9	   99277.9	   99277.9
222	   42308.6	   99771.2	   99757.2	   99757.2	   99757.2
223	   42758.1	    100277	    100240	    100240	    100240
224	   43190.1	    100764	    100713	    100713	    100713
225	   43565.7	    101198	    101173	    101173	    101173
226	   43952.1	    101642	    101623	    101623	    101623
227	   44347.2	    102095	    102070	    102070	    102070
228	   44742.8	    102547	    102512	    102512	    102512
229	   45115.8	    102977	    102947	    102947	    102947
230	   45478.2	    103397	    103378	    103378	    103378
231	   45830.8	    103810	    103817	    103817	    103817
232	   46230.6	    104270	    104270	    104270	    104270
233	   46669.7	    104765	    104734	    104734	    104734
234	   47087.4	    105239	    105194	    105194	    105194
235	   47476.2	    105684	    105641	    105641	    105641
236	   47838.3	    106103	    106073	    106073	    106073
237	   48186.9	    106510	    106497	    106497	    106497
238	   48557.8	    106939	    106920	    106920	    106920
239	   48932.6	    107371	    107344	    107344	    107344
240	   49292.2	    107789	    107767	    107767	    107767
241	   49666.8	    108220	    108185	    108185	    108185
242	   50018.8	    108629	    108594	    108594	    108594
243	   50358.2	    109025	    108994	    108994	    108994
244	   50676.2	    109402	    109392	    109392	    109392
245	   51013.6	    109799	    109797	    109797	    109797
246	   51382.2	    110226	    110214	    110214	    110214
247	   51766.2	    110666	    110640	    110640	    110640
248	   52125.5	    111084	    111071	    111071	    111071
249	   52504.2	    111521	    111506	    111506	    111506
250	   52894.7	    111969	    111944	    111944	    111944
251	   53275.6	    112407	    112381	    112381	    112381
252	   53655.2	    112844	    112814	    112814	    112814
253	   54024.5	    113270	    113239	    113239	    113239
254	   54382.6	    113686	    113656	    113656	    113656
255	   54733.2	    114093	    114065	    114065	    114065
256	   55077.1	    114495	    114467	    114467	    114467
257	   55421.4	    114896	    114858	    114858	    114858
258	   55746.7	    115277	    115239	    115239	    115239
259	   56041.9	    115630	    115611	    115611	    115611
260	     56341	    115989	    115985	    115985	    115985
261	   56671.2	    116378	    116366	    116366	    116366
262	   57017.1	    116780	    116755	    116755	    116755
263	   57347.1	    117168	    117144	    117144	    117144
264	   57683.5	    117561	    117532	    117532	    117532
265	   58004.4	    117940	    117916	    117916	    117916
266	     58318	    118312	    118300	    118300	    118300
267	   58647.8	    118701	    118689	    118689	    118689
268	   58999.8	    119110	    119082	    119082	    119082
269	   59341.6	    119508	    119474	    119474	    119474
270	   59660.7	    119884	    119862	    119862	    119862
271	   59977.5	    120260	    120253	    120253	    120253
272	   60311.8	    120654	    120655	    120655	    120655
273	     60673	    121075	    121075	    121075	    121075
274	   61063.7	    121524	    121510	    121510	    121510
275	   61467.8	    121985	    121952	    121952	    121952
276	   61851.2	    122425	    122391	    122391	    122391
277	   62219.4	    122850	    122824	    122824	    122824
278	   62583.3	    123272	    123254	    123254	    123254
279	   62952.2	    123700	    123685	    123685	    123685
280	   63335.6	    124141	    124117	    124117	    124117
281	   63722.3	    124584	    124546	    124546	    124546
282	   64083.6	    125001	    124966	    124966	    124966
283	   64425.3	    125401	    125377	    125377	    125377
284	   64772.1	    125806	    125779	    125779	    125779
285	   65122.1	    126212	    126174	    126174	    126174
286	   65448.4	    126594	    126557	    126557	    126557
287	   65757.4	    126960	    126927	    126927	    126927
288	   66057.5	    127318	    127285	    127285	    127285
289	     66348	    127665	    127633	    127633	    127633
290	   66626.6	    128001	    127969	    127969	    127969
291	   66898.8	    128330	    128293	    128293	    128293
292	   67162.2	    128649	    128598	    128598	    128598
293	     67398	    128939	    128875	    128875	    128875
294	   67581.8	    129176	    129122	    129122	    129122
295	   67717.1	    129369	    129351	    129351	    129351
296	   67847.2	    129561	    129588	    129588	    129588
297	   68033.9	    129812	    129865	    129865	    129865
298	     68315	    130156	    130199	    130199	    130199
299	   68665.5	    130567	    130595	    130595	    130595
300	   69052.4	    131016	    131043	    131043	    131043
301	   69506.4	    131530	    131529	    131529	    131529
