Data	MoNbTaWV_2D_karkea
Recipe	MISAC3
Points	3696
X-Resolution	1.000000
	       Raw	  RawLevel	    Normal	     Rough	      Wavi
145	  -34113.8	   59060.8	   59051.8	   59051.8	   59051.8
146	  -34050.1	   59479.3	   59466.3	   59466.3	   59466.3
147	  -33991.8	   59891.3	   59877.8	   59877.8	   59877.8
148	  -33945.2	   60294.4	   60286.8	   60286.8	   60286.8
149	  -33893.5	   60702.7	     60694	     60694	     60694
150	    -33836	   61113.9	   61099.6	   61099.6	   61099.6
151	  -33790.6	   61514.2	   61502.7	   61502.7	   61502.7
152	  -33749.7	   61911.8	   61903.7	   61903.7	   61903.7
153	  -33702.5	   62313.7	   62303.8	   62303.8	   62303.8
154	  -33660.8	   62711.1	   62704.8	   62704.8	   62704.8
155	  -33618.6	   63111.2	   63108.4	   63108.4	   63108.4
156	  -33564.3	   63521.6	   63515.7	   63515.7	   63515.7
157	  -33507.4	   63934.2	   63926.1	   63926.1	   63926.1
158	  -33450.3	   64347.3	   64338.3	   64338.3	   64338.3
159	  -33391.3	   64761.5	   64750.7	   64750.7	   64750.7
160	  -33335.2	   65172.9	   65162.9	   65162.9	   65162.9
161	  -33281.5	   65582.9	   65574.9	   65574.9	   65574.9
162	  -33224.1	   65996.4	   65986.7	   65986.7	   65986.7
163	  -33164.2	   66411.2	   66397.2	   66397.2	   66397.2
164	  -33108.7	     66821	   66803.6	   66803.6	   66803.6
165	  -33060.7	   67222.3	   67203.8	   67203.8	   67203.8
166	  -33025.6	     67612	   67597.5	   67597.5	   67597.5
167	  -32995.7	   67997.7	   67986.9	   67986.9	   67986.9
168	  -32965.3	     68383	   68375.7	   68375.7	   68375.7
169	  -32938.8	   68767.6	   68768.2	   68768.2	   68768.2
170	  -32899.2	   69167.3	   69166.8	   69166.8	   69166.8
171	    -32836	   69584.7	   69569.4	   69569.4	   69569.4
172	  -32780.6	   69991.5	   69970.8	   69970.8	   69970.8
173	  -32747.9	     70380	     70368	     70368	     70368
174	  -32714.4	   70770.3	   70762.4	   70762.4	   70762.4
175	  -32674.7	   71165.9	   71156.6	   71156.6	   71156.6
176	  -32633.9	   71562.2	   71551.4	   71551.4	   71551.4
177	  -32593.5	   71957.9	   71946.5	   71946.5	   71946.5
178	  -32555.4	   72351.9	   72340.9	   72340.9	   72340.9
179	  -32515.7	   72747.1	   72734.3	   72734.3	   72734.3
180	  -32476.8	   73140.1	   73126.1	   73126.1	   73126.1
181	  -32445.5	   73526.7	   73516.8	   73516.8	   73516.8
182	  -32416.3	   73913.8	   73908.4	   73908.4	   73908.4
183	  -32375.7	   74311.2	     74302	     74302	     74302
184	  -32329.1	   74711.6	   74696.4	   74696.4	   74696.4
185	  -32291.8	   75103.3	   75089.9	   75089.9	   75089.9
186	  -32260.6	   75491.1	   75482.7	   75482.7	   75482.7
187	  -32224.5	   75884.4	   75875.9	   75875.9	   75875.9
188	  -32180.9	   76283.4	   76269.5	   76269.5	   76269.5
189	  -32138.9	   76678.2	   76662.6	   76662.6	   76662.6
190	    -32111	   77061.9	   77056.3	   77056.3	   77056.3
191	  -32082.1	   77452.2	   77454.5	   77454.5	   77454.5
192	    -32025	   77866.7	   77858.7	   77858.7	   77858.7
193	  -31959.7	   78284.7	   78265.5	   78265.5	   78265.5
194	  -31909.2	     78689	   78669.4	   78669.4	   78669.4
195	  -31867.3	     79085	   79067.6	   79067.6	   79067.6
196	  -31832.5	   79474.3	   79461.6	   79461.6	   79461.6
197	  -31803.3	   79860.8	   79855.6	   79855.6	   79855.6
198	  -31766.5	   80257.1	   80252.6	   80252.6	   80252.6
199	  -31711.3	   80667.5	   80652.4	   80652.4	   80652.4
200	  -31658.2	   81072.1	   81051.2	   81051.2	   81051.2
201	  -31624.8	   81460.3	   81447.3	   81447.3	   81447.3
202	  -31595.6	   81848.1	   81842.6	   81842.6	   81842.6
203	  -31552.3	     82249	   82239.7	   82239.7	   82239.7
204	  -31500.1	   82654.6	   82638.5	   82638.5	   82638.5
205	  -31458.6	   83050.3	   83037.7	   83037.7	   83037.7
206	  -31423.9	   83444.1	   83437.5	   83437.5	   83437.5
207	  -31372.9	   83851.8	   83837.9	   83837.9	   83837.9
208	  -31317.2	   84259.2	     84236	     84236	     84236
209	  -31280.1	   84649.1	   84628.8	   84628.8	   84628.8
210	  -31255.6	   85029.6	   85016.3	   85016.3	   85016.3
211	  -31229.7	   85412.4	   85401.1	   85401.1	   85401.1
212	  -31198.1	   85799.9	   85784.5	   85784.5	   85784.5
213	  -31165.4	   86185.6	   86164.9	   86164.9	   86164.9
214	  -31144.2	     86560	   86540.7	   86540.7	   86540.7
215	  -31134.4	   86925.7	   86912.8	   86912.8	   86912.8
216	    -31123	   87293.1	   87284.5	   87284.5	   87284.5
217	  -31109.8	   87664.5	     87660	     87660	     87660
218	  -31085.1	   88048.2	   88040.6	   88040.6	   88040.6
219	  -31045.6	   88441.4	   88424.3	   88424.3	   88424.3
220	  -31014.6	     88826	   88807.1	   88807.1	   88807.1
221	  -30992.7	   89203.6	   89186.2	   89186.2	   89186.2
222	  -30970.3	   89579.6	   89560.9	   89560.9	   89560.9
223	  -30956.8	   89947.5	   89932.3	   89932.3	   89932.3
224	  -30948.7	   90312.9	   90302.6	   90302.6	   90302.6
225	  -30933.3	   90684.9	   90674.1	   90674.1	   90674.1
226	  -30913.5	   91060.6	   91047.2	   91047.2	   91047.2
227	  -30892.3	     91437	   91420.6	   91420.6	   91420.6
228	  -30872.9	     91810	   91792.8	   91792.8	   91792.8
229	  -30862.4	   92176.4	   92164.1	   92164.1	   92164.1
230	  -30850.5	   92546.1	   92536.1	   92536.1	   92536.1
231	  -30829.4	   92922.6	   92910.5	   92910.5	   92910.5
232	  -30809.2	     93299	   93287.6	   93287.6	   93287.6
233	  -30786.6	   93678.7	   93667.3	   93667.3	   93667.3
234	  -30757.8	   94062.7	   94049.1	   94049.1	   94049.1
235	  -30730.7	   94446.4	   94431.3	   94431.3	   94431.3
236	  -30699.6	   94832.2	   94811.3	   94811.3	   94811.3
237	  -30672.4	   95210.6	   95186.3	   95186.3	   95186.3
238	    -30664	   95573.8	   95555.1	   95555.1	   95555.1
239	  -30659.2	     95935	   95919.4	   95919.4	   95919.4
240	  -30650.8	   96297.8	   96281.1	   96281.1	   96281.1
241	  -30647.4	   96656.5	   96641.6	   96641.6	   96641.6
242	    -30645	   97015.6	   97001.8	   97001.8	   97001.8
243	  -30638.2	   97377.5	     97362	     97362	     97362
244	  -30633.6	   97737.3	   97722.4	   97722.4	   97722.4
245	  -30630.6	   98096.6	   98083.5	   98083.5	   98083.5
246	  -30624.8	   98458.6	   98445.9	   98445.9	   98445.9
247	  -30616.6	   98823.5	   98809.7	   98809.7	   98809.7
248	  -30603.8	   99191.9	   99173.3	   99173.3	   99173.3
249	  -30591.1	     99557	   99534.5	   99534.5	   99534.5
250	  -30591.4	     99910	   99892.7	   99892.7	   99892.7
251	  -30600.9	    100259	    100250	    100250	    100250
252	    -30598	    100621	    100610	    100610	    100610
253	  -30583.6	    100989	    100972	    100972	    100972
254	  -30575.3	    101352	    101334	    101334	    101334
255	    -30572	    101711	    101695	    101695	    101695
256	    -30567	    102072	    102055	    102055	    102055
257	  -30558.8	    102435	    102412	    102412	    102412
258	  -30557.1	    102787	    102764	    102764	    102764
259	  -30573.7	    103127	    103113	    103113	    103113
260	  -30586.6	    103473	    103460	    103460	    103460
261	  -30585.5	    103827	    103808	    103808	    103808
262	  -30595.9	    104172	    104155	    104155	    104155
263	  -30609.6	    104516	    104503	    104503	    104503
264	  -30612.9	    104868	    104852	    104852	    104852
265	  -30617.6	    105218	    105202	    105202	    105202
266	  -30624.2	    105568	    105552	    105552	    105552
267	  -30628.1	    105921	    105901	    105901	    105901
268	    -30629	    106271	    106246	    106246	    106246
269	  -30644.9	    106608	    106586	    106586	    106586
270	  -30674.7	    106936	    106923	    106923	    106923
271	  -30694.6	    107274	    107262	    107262	    107262
272	  -30706.4	    107618	    107602	    107602	    107602
273	  -30716.6	    107963	    107946	    107946	    107946
274	  -30728.5	    108306	    108290	    108290	    108290
275	  -30743.2	    108649	    108639	    108639	    108639
276	  -30750.1	    109001	    108992	    108992	    108992
277	  -30744.4	    109364	    109350	    109350	    109350
278	  -30730.8	    109732	    109711	    109711	    109711
279	  -30722.2	    110093	    110070	    110070	    110070
280	  -30725.1	    110445	    110425	    110425	    110425
281	  -30729.2	    110797	    110776	    110776	    110776
282	  -30733.2	    111146	    111121	    111121	    111121
283	  -30745.5	    111486	    111462	    111462	    111462
284	  -30771.7	    111816	    111797	    111797	    111797
285	    -30797	    112148	    112131	    112131	    112131
286	  -30814.4	    112484	    112462	    112462	    112462
287	    -30841	    112812	    112792	    112792	    112792
288	  -30870.6	    113138	    113119	    113119	    113119
289	    -30899	    113465	    113445	    113445	    113445
290	  -30928.1	    113791	    113770	    113770	    113770
291	  -30959.4	    114113	    114091	    114091	    114091
292	  -30998.8	    114429	    114412	    114412	    114412
293	  -31038.5	    114746	    114734	    114734	    114734
294	  -31074.7	    115069	    115063	    115063	    115063
295	  -31098.6	    115406	    115403	    115403	    115403
296	  -31100.8	    115763	    115755	    115755	    115755
297	  -31091.3	    116129	    116118	    116118	    116118
298	  -31075.9	    116503	    116490	    116490	    116490
299	  -31052.7	    116883	    116865	    116865	    116865
300	  -31024.9	    117265	    117242	    117242	    117242
301	  -31000.9	    117642	    117615	    117615	    117615
302	  -30986.9	    118009	    117982	    117982	    117982
303	  -30981.9	    118368	    118343	    118343	    118343
304	  -30983.6	    118720	    118697	    118697	    118697
305	  -30989.9	    119069	    119047	    119047	    119047
306	  -30998.8	    119415	    119394	    119394	    119394
307	  -31009.1	    119759	    119738	    119738	    119738
308	  -31023.7	    120100	    120080	    120080	    120080
309	  -31039.4	    120441	    120419	    120419	    120419
310	  -31052.2	    120781	    120757	    120757	    120757
311	  -31072.4	    121114	    121090	    121090	    121090
312	  -31102.7	    121440	    121422	    121422	    121422
313	  -31129.5	    121770	    121753	    121753	    121753
314	  -31151.3	    122104	    122084	    122084	    122084
315	  -31174.6	    122436	    122414	    122414	    122414
316	  -31197.7	    122767	    122741	    122741	    122741
317	  -31224.9	    123091	    123064	    123064	    123064
318	  -31267.1	    123403	    123382	    123382	    123382
319	    -31315	    123714	    123700	    123700	    123700
320	  -31351.2	    124036	    124020	    124020	    124020
321	    -31380	    124362	    124342	    124342	    124342
322	  -31409.1	    124688	    124666	    124666	    124666
323	  -31440.5	    125011	    124988	    124988	    124988
324	  -31475.5	    125331	    125307	    125307	    125307
325	  -31514.4	    125645	    125626	    125626	    125626
326	  -31560.1	    125957	    125948	    125948	    125948
327	  -31598.5	    126283	    126277	    126277	    126277
328	  -31606.3	    126634	    126613	    126613	    126613
329	  -31603.6	    126984	    126950	    126950	    126950
330	  -31629.3	    127310	    127279	    127279	    127279
331	  -31669.9	    127626	    127601	    127601	    127601
332	  -31704.9	    127944	    127914	    127914	    127914
333	  -31749.4	    128250	    128221	    128221	    128221
334	  -31812.5	    128541	    128523	    128523	    128523
335	  -31877.2	    128838	    128826	    128826	    128826
336	  -31922.8	    129151	    129133	    129133	    129133
337	  -31958.4	    129467	    129441	    129441	    129441
338	  -32005.4	    129774	    129747	    129747	    129747
339	    -32060	    130075	    130049	    130049	    130049
340	  -32113.3	    130374	    130346	    130346	    130346
341	  -32177.5	    130662	    130640	    130640	    130640
342	  -32253.3	    130946	    130936	    130936	    130936
343	  -32314.6	    131247	    131237	    131237	    131237
344	    -32352	    131566	    131544	    131544	    131544
345	  -32388.4	    131881	    131852	    131852	    131852
346	  -32436.5	    132186	    132156	    132156	    132156
347	  -32492.8	    132481	    132453	    132453	    132453
348	  -32563.1	    132766	    132746	    132746	    132746
349	  -32636.4	    133054	    133039	    133039	    133039
350	  -32691.1	    133356	    133335	    133335	    133335
351	    -32741	    133658	    133632	    133632	    133632
352	  -32801.9	    133953	    133928	    133928	    133928
353	  -32863.2	    134247	    134221	    134221	    134221
354	  -32925.7	    134537	    134510	    134510	    134510
355	    -32997	    134821	    134796	    134796	    134796
356	  -33069.4	    135104	    135079	    135079	    135079
357	  -33142.1	    135385	    135360	    135360	    135360
358	  -33219.5	    135662	    135640	    135640	    135640
359	  -33299.9	    135940	    135918	    135918	    135918
360	  -33374.1	    136221	    136196	    136196	    136196
361	  -33446.3	    136500	    136471	    136471	    136471
362	  -33533.9	    136767	    136744	    136744	    136744
363	  -33623.1	    137037	    137015	    137015	    137015
364	  -33701.8	    137312	    137284	    137284	    137284
365	  -33786.6	    137579	    137551	    137551	    137551
366	  -33882.9	    137838	    137815	    137815	    137815
367	  -33980.4	    138097	    138079	    138079	    138079
368	  -34073.8	    138362	    138346	    138346	    138346
369	  -34158.2	    138637	    138618	    138618	    138618
370	  -34231.8	    138918	    138895	    138895	    138895
371	  -34306.5	    139198	    139172	    139172	    139172
372	  -34385.7	    139474	    139450	    139450	    139450
373	  -34465.1	    139749	    139729	    139729	    139729
374	  -34547.2	    140026	    140011	    140011	    140011
375	    -34619	    140316	    140297	    140297	    140297
376	  -34669.7	    140617	    140585	    140585	    140585
377	  -34732.8	    140902	    140869	    140869	    140869
378	  -34819.5	    141172	    141150	    141150	    141150
379	  -34902.9	    141447	    141433	    141433	    141433
380	  -34976.6	    141734	    141722	    141722	    141722
381	  -35032.4	    142038	    142020	    142020	    142020
382	  -35077.6	    142347	    142324	    142324	    142324
383	  -35126.1	    142655	    142632	    142632	    142632
384	  -35170.4	    142967	    142940	    142940	    142940
385	  -35213.5	    143276	    143245	    143245	    143245
386	  -35266.4	    143575	    143545	    143545	    143545
387	    -35330	    143867	    143842	    143842	    143842
388	  -35396.1	    144158	    144137	    144137	    144137
389	  -35456.4	    144456	    144433	    144433	    144433
390	  -35508.4	    144758	    144730	    144730	    144730
391	  -35563.5	    145055	    145025	    145025	    145025
392	  -35630.1	    145343	    145317	    145317	    145317
393	  -35698.4	    145632	    145609	    145609	    145609
394	  -35763.9	    145922	    145901	    145901	    145901
395	  -35826.7	    146217	    146195	    146195	    146195
396	  -35882.8	    146517	    146491	    146491	    146491
397	    -35939	    146813	    146787	    146787	    146787
398	  -36003.6	    147106	    147084	    147084	    147084
399	  -36063.6	    147406	    147382	    147382	    147382
400	  -36110.4	    147712	    147679	    147679	    147679
401	  -36165.4	    148006	    147972	    147972	    147972
402	  -36240.6	    148287	    148261	    148261	    148261
403	  -36313.6	    148572	    148548	    148548	    148548
404	  -36379.6	    148861	    148835	    148835	    148835
405	  -36446.1	    149149	    149123	    149123	    149123
406	  -36516.3	    149435	    149413	    149413	    149413
407	  -36582.1	    149727	    149706	    149706	    149706
408	  -36642.3	    150025	    149999	    149999	    149999
409	  -36694.2	    150329	    150289	    150289	    150289
410	  -36743.7	    150618	    150566	    150566	    150566
411	  -36845.7	    150865	    150830	    150830	    150830
412	  -36968.6	    151105	    151085	    151085	    151085
413	  -37069.1	    151361	    151337	    151337	    151337
414	  -37166.5	    151620	    151590	    151590	    151590
415	  -37262.1	    151875	    151841	    151841	    151841
416	  -37373.2	    152117	    152089	    152089	    152089
417	  -37490.4	    152359	    152336	    152336	    152336
418	    -37597	    152609	    152582	    152582	    152582
419	  -37700.6	    152858	    152828	    152828	    152828
420	  -37811.5	    153101	    153073	    153073	    153073
421	  -37927.1	    153343	    153316	    153316	    153316
422	  -38036.6	    153588	    153556	    153556	    153556
423	  -38150.1	    153825	    153794	    153794	    153794
424	  -38277.5	    154054	    154028	    154028	    154028
425	  -38401.7	    154289	    154261	    154261	    154261
426	  -38516.2	    154526	    154492	    154492	    154492
427	  -38642.4	    154752	    154719	    154719	    154719
428	  -38779.9	    154970	    154943	    154943	    154943
429	  -38916.9	    155190	    155165	    155165	    155165
430	  -39048.8	    155416	    155387	    155387	    155387
431	  -39173.2	    155644	    155605	    155605	    155605
432	  -39308.3	    155859	    155810	    155810	    155810
433	  -39457.2	    156055	    155995	    155995	    155995
434	    -39638	    156206	    156162	    156162	    156162
435	  -39891.1	    156316	    156329	    156329	    156329
436	  -40122.9	    156485	    156520	    156520	    156520
437	  -40217.2	    156756	    156744	    156744	    156744
438	  -40280.2	    157032	    156988	    156988	    156988
439	  -40394.2	    157268	    157235	    157235	    157235
440	  -40523.7	    157500	    157478	    157478	    157478
441	  -40634.9	    157750	    157719	    157719	    157719
442	    -40730	    157999	    157955	    157955	    157955
443	  -40858.1	    158219	    158184	    158184	    158184
444	  -41009.7	    158430	    158410	    158410	    158410
445	  -41140.7	    158660	    158636	    158636	    158636
446	  -41253.9	    158901	    158859	    158859	    158859
447	  -41370.7	    159125	    159072	    159072	    159072
448	  -41532.9	    159310	    159274	    159274	    159274
449	  -41720.1	    159486	    159471	    159471	    159471
450	  -41884.3	    159687	    159673	    159673	    159673
451	  -42018.6	    159911	    159881	    159881	    159881
452	  -42143.9	    160133	    160090	    160090	    160090
453	  -42294.7	    160332	    160291	    160291	    160291
454	  -42462.9	    160518	    160485	    160485	    160485
455	  -42635.6	    160700	    160674	    160674	    160674
456	  -42808.3	    160887	    160863	    160863	    160863
457	  -42970.2	    161083	    161054	    161054	    161054
458	  -43123.8	    161282	    161244	    161244	    161244
459	  -43284.9	    161469	    161429	    161429	    161429
460	  -43469.1	    161638	    161608	    161608	    161608
461	  -43659.4	    161809	    161785	    161785	    161785
462	  -43834.7	    161990	    161965	    161965	    161965
463	    -44005	    162177	    162146	    162146	    162146
464	  -44171.4	    162362	    162328	    162328	    162328
465	    -44351	    162538	    162510	    162510	    162510
466	  -44529.5	    162717	    162692	    162692	    162692
467	  -44700.8	    162903	    162878	    162878	    162878
468	  -44866.7	    163096	    163065	    163065	    163065
469	  -45022.6	    163289	    163252	    163252	    163252
470	  -45199.5	    163467	    163438	    163438	    163438
471	    -45378	    163648	    163625	    163625	    163625
472	  -45544.4	    163841	    163814	    163814	    163814
473	  -45698.7	    164040	    164006	    164006	    164006
474	  -45860.3	    164230	    164199	    164199	    164199
475	  -46033.6	    164415	    164394	    164394	    164394
476	  -46196.1	    164620	    164591	    164591	    164591
